id,date,ligne,four,probleme,equipement,famille,duree_min,source,famille_norm,equipement_norm,famille_affichage,equipement_affichage
1759,2024-08-09,L13,Four 1,Mauvaise fonctionnement rippeur 2 fois,rippeur,Section n°2,30.0,import_2024,section n°2,rippeur,Section n°2,rippeur
1760,2024-08-11,L13,Four 1,Ventillation MDB entre st4 et st5,Ventillation,Section n°4,30.0,import_2024,section n°4,ventillation,Section n°4,ventillation
1761,2024-08-11,L13,Four 1,Ventillation MDB entre st4 et st5,Ventillation,Section n°5,30.0,import_2024,section n°5,ventillation,Section n°5,ventillation
1762,2024-08-12,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°6,15.0,import_2024,section n°6,rippeur,Section n°6,rippeur
1763,2024-08-12,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°8,15.0,import_2024,section n°8,rippeur,Section n°8,rippeur
1764,2024-08-12,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°3,10.0,import_2024,section n°3,rippeur,Section n°3,rippeur
1765,2024-08-12,L13,Four 1,Changement bras take-out,take-out,Section n°3,60.0,import_2024,section n°3,take-out,Section n°3,take-out
1766,2024-08-12,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°6,10.0,import_2024,section n°6,rippeur,Section n°6,rippeur
1767,2024-08-14,L13,Four 1,Arret de mise a l'arche,Mise à l'arche,mise a l'arche,120.0,import_2024,mise a l'arche,mise à l'arche,Mise a l'arche,Mise à l'arche
1768,2024-08-14,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°8,20.0,import_2024,section n°8,rippeur,Section n°8,rippeur
1769,2024-08-14,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°2,20.0,import_2024,section n°2,rippeur,Section n°2,rippeur
1770,2024-08-14,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°4,20.0,import_2024,section n°4,rippeur,Section n°4,rippeur
